dataset_key,sample_id,split,image_path,fn_lane_count,fp_lane_count,matched_lane_count,hard_fn_count,center_supported_fn_count,near_unmatched_fn_count,hard_sample_score
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16893590,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16893590.jpg,4,4,1,4,3,4,11.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_11903217,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_11903217.jpg,4,3,2,4,3,3,10.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10055399,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10055399.jpg,6,1,2,6,3,1,8.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16705097,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16705097.jpg,4,2,4,4,3,1,8.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16633836,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16633836.jpg,3,3,1,3,2,2,6.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3896949,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3896949.jpg,3,1,2,3,2,2,6.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3899542,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3899542.jpg,7,6,1,7,1,3,6.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16718429,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16718429.jpg,2,1,1,2,2,2,6.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10041454,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10041454.jpg,3,2,2,3,1,3,5.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10061511,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_10061511.jpg,3,7,2,3,1,3,5.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3965072,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_3965072.jpg,3,1,3,3,1,3,5.75
aihub_lane_seoul,aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_16176091,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_16176091.jpg,2,1,2,2,2,1,5.5
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16992196,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16992196.jpg,5,1,1,5,1,2,5.25
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16799793,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_2_16799793.jpg,4,2,0,4,1,2,5.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_4044741,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_3_4044741.jpg,8,1,0,8,1,1,5.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14328926,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_d_1920_1080_daylight_train_2_14328926.jpg,8,1,0,8,1,1,5.0
aihub_lane_seoul,aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16703739,train,/home/kai/yolopv26/seg_dataset/pv26_exhaustive_od_lane_dataset/images/train/aihub_lane_seoul_train_Training_c_1280_720_daylight_train_1_16703739.jpg,3,3,0,3,1,2,4.75
